route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
25,211200071,108300689211200071,"GARE DU NORD",0,8458861,020b0071
25,211200071,108300690211200071,"GARE DU NORD",0,8458870,020b0071
25,211200071,108300691211200071,"GARE DU NORD",0,8458868,020b0071
25,211200071,108300692211200071,"GARE DU NORD",0,8458865,020b0071
25,211200071,108300693211200071,"GARE DU NORD",0,8458861,020b0071
25,211200071,108300694211200071,"GARE DU NORD",0,8458870,020b0071
25,211200071,108300695211200071,"GARE DU NORD",0,8458868,020b0071
25,211200071,108300696211200071,"GARE DU NORD",0,8458865,020b0071
25,211200071,108300697211200071,"GARE DU NORD",0,8458861,020b0071
25,211200071,108300698211200071,"HUNDERENVELD",1,8458870,020b0062
25,211200071,108300699211200071,"HUNDERENVELD",1,8458865,020b0062
25,211200071,108300700211200071,"HUNDERENVELD",1,8458865,020b0062
25,211200071,108300701211200071,"HUNDERENVELD",1,8458868,020b0062
25,211200071,108300702211200071,"HUNDERENVELD",1,8458861,020b0062
25,211200071,108300703211200071,"HUNDERENVELD",1,8458867,020b0062
25,211200071,108300704211200071,"HUNDERENVELD",1,8458865,020b0062
25,211200071,108300705211200071,"HUNDERENVELD",1,8458868,020b0062
25,211200071,108300706211200071,"HUNDERENVELD",1,8458861,020b0062
25,211200071,108300707211200071,"HUNDERENVELD",1,8458870,020b0062
25,211200071,108300708211200071,"GARE DU NORD",0,8458860,020b0071
25,211200071,108300709211200071,"HUNDERENVELD",1,8458863,020b0062
25,211200071,108300710211200071,"GARE DU NORD",0,8458861,020b0071
25,211200071,108300711211200071,"GARE DU NORD",0,8458862,020b0071
25,211200071,108300712211200071,"GARE DU NORD",0,8458864,020b0071
25,211200071,108300713211200071,"GARE DU NORD",0,8458863,020b0071
25,211200071,108300714211200071,"GARE DU NORD",0,8458865,020b0071
25,211200071,108300715211200071,"GARE DU NORD",0,8458860,020b0071
25,211200071,108300716211200071,"GARE DU NORD",0,8458861,020b0071
25,211200071,108300717211200071,"GARE DU NORD",0,8458862,020b0071
25,211200071,108300718211200071,"GARE DU NORD",0,8458870,020b0071
25,211200071,108300719211200071,"GARE DU NORD",0,8458864,020b0071
25,211200071,108300720211200071,"GARE DU NORD",0,8458867,020b0071
25,211200071,108300721211200071,"GARE DU NORD",0,8458863,020b0071
25,211200071,108300722211200071,"GARE DU NORD",0,8458869,020b0071
25,211200071,108300723211200071,"GARE DU NORD",0,8458865,020b0071
25,211200071,108300724211200071,"GARE DU NORD",0,8458860,020b0071
25,211200071,108300725211200071,"GARE DU NORD",0,8458861,020b0071
25,211200071,108300726211200071,"GARE DU NORD",0,8458862,020b0071
25,211200071,108300727211200071,"GARE DU NORD",0,8458870,020b0071
25,211200071,108300728211200071,"GARE DU NORD",0,8458864,020b0071
25,211200071,108300729211200071,"GARE DU NORD",0,8458867,020b0071
25,211200071,108300730211200071,"GARE DU NORD",0,8458863,020b0071
25,211200071,108300731211200071,"GARE DU NORD",0,8458865,020b0071
25,211200071,108300732211200071,"GARE DU NORD",0,8458860,020b0071
25,211200071,108300733211200071,"GARE DU NORD",0,8458861,020b0071
25,211200071,108300734211200071,"GARE DU NORD",0,8458862,020b0071
25,211200071,108300735211200071,"GARE DU NORD",0,8458870,020b0071
25,211200071,108300736211200071,"GARE DU NORD",0,8458864,020b0071
25,211200071,108300737211200071,"GARE DU NORD",0,8458867,020b0071
25,211200071,108300738211200071,"GARE DU NORD",0,8458863,020b0071
25,211200071,108300739211200071,"GARE DU NORD",0,8458865,020b0071
25,211200071,108300740211200071,"GARE DU NORD",0,8458860,020b0071
25,211200071,108300741211200071,"GARE DU NORD",0,8458861,020b0071
25,211200071,108300742211200071,"GARE DU NORD",0,8458862,020b0071
25,211200071,108300743211200071,"GARE DU NORD",0,8458870,020b0071
25,211200071,108300744211200071,"GARE DU NORD",0,8458864,020b0071
25,211200071,108300745211200071,"GARE DU NORD",0,8458867,020b0071
25,211200071,108300746211200071,"GARE DU NORD",0,8458863,020b0071
25,211200071,108300747211200071,"GARE DU NORD",0,8458865,020b0071
25,211200071,108300748211200071,"GARE DU NORD",0,8458860,020b0071
25,211200071,108300749211200071,"GARE DU NORD",0,8458861,020b0071
25,211200071,108300750211200071,"GARE DU NORD",0,8458862,020b0071
25,211200071,108300751211200071,"GARE DU NORD",0,8458870,020b0071
25,211200071,108300752211200071,"GARE DU NORD",0,8458864,020b0071
25,211200071,108300753211200071,"GARE DU NORD",0,8458867,020b0071
25,211200071,108300754211200071,"GARE DU NORD",0,8458863,020b0071
25,211200071,108300755211200071,"GARE DU NORD",0,8458865,020b0071
25,211200071,108300756211200071,"GARE DU NORD",0,8458860,020b0071
25,211200071,108300757211200071,"GARE DU NORD",0,8458861,020b0071
25,211200071,108300758211200071,"GARE DU NORD",0,8458862,020b0071
25,211200071,108300759211200071,"GARE DU NORD",0,8458870,020b0071
25,211200071,108300760211200071,"GARE DU NORD",0,8458864,020b0071
25,211200071,108300761211200071,"GARE DU NORD",0,8458868,020b0071
25,211200071,108300762211200071,"GARE DU NORD",0,8458867,020b0071
25,211200071,108300763211200071,"GARE DU NORD",0,8458865,020b0071
25,211200071,108300764211200071,"GARE DU NORD",0,8458866,020b0071
25,211200071,108300765211200071,"GARE DU NORD",0,8458860,020b0071
25,211200071,108300766211200071,"GARE DU NORD",0,8458861,020b0071
25,211200071,108300767211200071,"GARE DU NORD",0,8458862,020b0071
25,211200071,108300768211200071,"GARE DU NORD",0,8458870,020b0071
25,211200071,108300769211200071,"GARE DU NORD",0,8458864,020b0071
